ano,cod_regiao,nome_regiao,cod_uf,nome_uf,cod_meso,nome_meso,cod_micro,nome_micro,cod_mun,cod_mundv,nome_mun
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25005,Piancó,251040,2510402,Olho d'Água
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25012,Curimataú Ocidental,251050,2510501,Olivedos
2015,2,Nordeste,25,Paraíba,2502,Borborema,25010,Cariri Ocidental,251060,2510600,Ouro Velho
2015,2,Nordeste,25,Paraíba,2502,Borborema,25010,Cariri Ocidental,251065,2510659,Parari
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25004,Patos,251070,2510709,Passagem
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25004,Patos,251080,2510808,Patos
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25003,Sousa,251090,2510907,Paulista
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25006,Itaporanga,251100,2511004,Pedra Branca
2015,2,Nordeste,25,Paraíba,2502,Borborema,25009,Seridó Oriental Paraibano,251110,2511103,Pedra Lavrada
2015,2,Nordeste,25,Paraíba,2504,Mata Paraibana,25023,Litoral Sul,251120,2511202,Pedras de Fogo
2015,2,Nordeste,25,Paraíba,2504,Mata Paraibana,25020,Litoral Norte,251272,2512721,Pedro Régis
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25005,Piancó,251130,2511301,Piancó
2015,2,Nordeste,25,Paraíba,2502,Borborema,25009,Seridó Oriental Paraibano,251140,2511400,Picuí
2015,2,Nordeste,25,Paraíba,2504,Mata Paraibana,25021,Sapé,251150,2511509,Pilar
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25015,Brejo Paraibano,251160,2511608,Pilões
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25016,Guarabira,251170,2511707,Pilõezinhos
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25016,Guarabira,251180,2511806,Pirpirituba
2015,2,Nordeste,25,Paraíba,2504,Mata Paraibana,25023,Litoral Sul,251190,2511905,Pitimbu
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25012,Curimataú Ocidental,251200,2512002,Pocinhos
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25002,Cajazeiras,251203,2512036,Poço Dantas
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25002,Cajazeiras,251207,2512077,Poço de José de Moura
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25003,Sousa,251210,2512101,Pombal
2015,2,Nordeste,25,Paraíba,2502,Borborema,25010,Cariri Ocidental,251220,2512200,Prata
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25007,Serra do Teixeira,251230,2512309,Princesa Isabel
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25017,Campina Grande,251240,2512408,Puxinanã
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25017,Campina Grande,251250,2512507,Queimadas
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25004,Patos,251260,2512606,Quixaba
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25012,Curimataú Ocidental,251270,2512705,Remígio
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25013,Curimataú Oriental,251274,2512747,Riachão
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25018,Itabaiana,251275,2512754,Riachão do Bacamarte
2015,2,Nordeste,25,Paraíba,2504,Mata Paraibana,25021,Sapé,251276,2512762,Riachão do Poço
2015,2,Nordeste,25,Paraíba,2502,Borborema,25011,Cariri Oriental,251278,2512788,Riacho de Santo Antônio
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25001,Catolé do Rocha,251280,2512804,Riacho dos Cavalos
2015,2,Nordeste,25,Paraíba,2504,Mata Paraibana,25020,Litoral Norte,251290,2512903,Rio Tinto
2015,2,Nordeste,25,Paraíba,2502,Borborema,25008,Seridó Ocidental Paraibano,251300,2513000,Salgadinho
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25018,Itabaiana,251310,2513109,Salgado de São Félix
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25019,Umbuzeiro,251315,2513158,Santa Cecília
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25003,Sousa,251320,2513208,Santa Cruz
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25002,Cajazeiras,251330,2513307,Santa Helena
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25006,Itaporanga,251335,2513356,Santa Inês
2015,2,Nordeste,25,Paraíba,2502,Borborema,25008,Seridó Ocidental Paraibano,251340,2513406,Santa Luzia
2015,2,Nordeste,25,Paraíba,2504,Mata Paraibana,25022,João Pessoa,251370,2513703,Santa Rita
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25004,Patos,251380,2513802,Santa Teresinha
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25006,Itaporanga,251350,2513505,Santana de Mangueira
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25005,Piancó,251360,2513604,Santana dos Garrotes
2015,2,Nordeste,25,Paraíba,2502,Borborema,25011,Cariri Oriental,251385,2513851,Santo André
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25003,Sousa,251392,2513927,São Bentinho
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25001,Catolé do Rocha,251390,2513901,São Bento
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25003,Sousa,251396,2513968,São Domingos
2015,2,Nordeste,25,Paraíba,2502,Borborema,25011,Cariri Oriental,251394,2513943,São Domingos do Cariri
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25003,Sousa,251398,2513984,São Francisco
2015,2,Nordeste,25,Paraíba,2502,Borborema,25011,Cariri Oriental,251400,2514008,São João do Cariri
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25002,Cajazeiras,250070,2500700,São João do Rio do Peixe
2015,2,Nordeste,25,Paraíba,2502,Borborema,25010,Cariri Ocidental,251410,2514107,São João do Tigre
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25003,Sousa,251420,2514206,São José da Lagoa Tapada
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25006,Itaporanga,251430,2514305,São José de Caiana
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25004,Patos,251440,2514404,São José de Espinharas
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25002,Cajazeiras,251450,2514503,São José de Piranhas
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25007,Serra do Teixeira,251455,2514552,São José de Princesa
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25004,Patos,251460,2514602,São José do Bonfim
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25001,Catolé do Rocha,251465,2514651,São José do Brejo do Cruz
2015,2,Nordeste,25,Paraíba,2502,Borborema,25008,Seridó Ocidental Paraibano,251470,2514701,São José do Sabugi
2015,2,Nordeste,25,Paraíba,2502,Borborema,25010,Cariri Ocidental,251480,2514800,São José dos Cordeiros
2015,2,Nordeste,25,Paraíba,2504,Mata Paraibana,25021,Sapé,251445,2514453,São José dos Ramos
2015,2,Nordeste,25,Paraíba,2502,Borborema,25008,Seridó Ocidental Paraibano,251490,2514909,São Mamede
2015,2,Nordeste,25,Paraíba,2504,Mata Paraibana,25021,Sapé,251500,2515005,São Miguel de Taipu
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25014,Esperança,251510,2515104,São Sebastião de Lagoa de Roça
2015,2,Nordeste,25,Paraíba,2502,Borborema,25010,Cariri Ocidental,251520,2515203,São Sebastião do Umbuzeiro
2015,2,Nordeste,25,Paraíba,2502,Borborema,25009,Seridó Oriental Paraibano,251540,2515401,São Vicente do Seridó
2015,2,Nordeste,25,Paraíba,2504,Mata Paraibana,25021,Sapé,251530,2515302,Sapé
2015,2,Nordeste,25,Paraíba,2502,Borborema,25010,Cariri Ocidental,251550,2515500,Serra Branca
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25016,Guarabira,251560,2515609,Serra da Raiz
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25006,Itaporanga,251570,2515708,Serra Grande
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25017,Campina Grande,251580,2515807,Serra Redonda
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25015,Brejo Paraibano,251590,2515906,Serraria
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25016,Guarabira,251593,2515930,Sertãozinho
2015,2,Nordeste,25,Paraíba,2504,Mata Paraibana,25021,Sapé,251597,2515971,Sobrado
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25013,Curimataú Oriental,251600,2516003,Solânea
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25012,Curimataú Ocidental,251610,2516102,Soledade
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25012,Curimataú Ocidental,251615,2516151,Sossêgo
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25003,Sousa,251620,2516201,Sousa
2015,2,Nordeste,25,Paraíba,2502,Borborema,25010,Cariri Ocidental,251630,2516300,Sumé
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25013,Curimataú Oriental,251640,2516409,Tacima
2015,2,Nordeste,25,Paraíba,2502,Borborema,25010,Cariri Ocidental,251650,2516508,Taperoá
